date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:54:55	47565/47565	---M-Z	200	added ('OK')	text/html	date:Sun,%2027%20Sep%202020%2002:48:48%20GMT	https://bslthemes.com/ryan/demo/index-new-demo-1.html	C:/My%20Web%20Sites/CV-Template/bslthemes.com/ryan/demo/index-new-demo-1.html	(from )
11:54:56	67/67	---MC-	200	added ('OK')	text/plain	date:Fri,%2009%20Oct%202020%2006:54:55%20GMT	https://bslthemes.com/robots.txt		(from )
11:54:57	16374/16374	---M--	200	added ('OK')	text/css	date:Sun,%2027%20Sep%202020%2002:49:35%20GMT	https://bslthemes.com/ryan/demo/css/basic.css	C:/My%20Web%20Sites/CV-Template/bslthemes.com/ryan/demo/css/basic.css	(from https://bslthemes.com/ryan/demo/index-new-demo-1.html)
11:54:57	2775/2775	---M--	200	added ('OK')	text/css	date:Sun,%2027%20Sep%202020%2002:49:36%20GMT	https://bslthemes.com/ryan/demo/css/blogs.css	C:/My%20Web%20Sites/CV-Template/bslthemes.com/ryan/demo/css/blogs.css	(from https://bslthemes.com/ryan/demo/index-new-demo-1.html)
11:54:58	57174/57174	---M--	200	added ('OK')	text/css	date:Sun,%2027%20Sep%202020%2002:49:37%20GMT	https://bslthemes.com/ryan/demo/css/ionicons.css	C:/My%20Web%20Sites/CV-Template/bslthemes.com/ryan/demo/css/ionicons.css	(from https://bslthemes.com/ryan/demo/index-new-demo-1.html)
11:54:58	72140/72140	---M--	200	added ('OK')	text/css	date:Sun,%2027%20Sep%202020%2002:49:36%20GMT	https://bslthemes.com/ryan/demo/css/layout.css	C:/My%20Web%20Sites/CV-Template/bslthemes.com/ryan/demo/css/layout.css	(from https://bslthemes.com/ryan/demo/index-new-demo-1.html)
11:54:59	6951/6951	---M--	200	added ('OK')	text/css	date:Sun,%2027%20Sep%202020%2002:49:34%20GMT	https://bslthemes.com/ryan/demo/css/magnific-popup.css	C:/My%20Web%20Sites/CV-Template/bslthemes.com/ryan/demo/css/magnific-popup.css	(from https://bslthemes.com/ryan/demo/index-new-demo-1.html)
11:54:59	4744/4744	---M--	200	added ('OK')	text/css	date:Sun,%2027%20Sep%202020%2002:49:37%20GMT	https://bslthemes.com/ryan/demo/css/owl.carousel.css	C:/My%20Web%20Sites/CV-Template/bslthemes.com/ryan/demo/css/owl.carousel.css	(from https://bslthemes.com/ryan/demo/index-new-demo-1.html)
11:54:59	2966/2966	---M--	200	added ('OK')	text/css	date:Sun,%2027%20Sep%202020%2002:49:35%20GMT	https://bslthemes.com/ryan/demo/css/gradient.css	C:/My%20Web%20Sites/CV-Template/bslthemes.com/ryan/demo/css/gradient.css	(from https://bslthemes.com/ryan/demo/index-new-demo-1.html)
11:55:00	74870/74870	---M--	200	added ('OK')	text/css	date:Sun,%2027%20Sep%202020%2002:49:35%20GMT	https://bslthemes.com/ryan/demo/css/animate.css	C:/My%20Web%20Sites/CV-Template/bslthemes.com/ryan/demo/css/animate.css	(from https://bslthemes.com/ryan/demo/index-new-demo-1.html)
